Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u >24V,C440198
"C10, C5, C6, C7, C8, C9",0402,6,100n,C1525
C2,0603,1,10u >5V,C19702
"C3, C4",0402,2,10u,C15525
D1,0603,1,STATUS LED RED,C2286
"J10, J11",PinHeader_1x04_P2.00mm_Vertical,2,Conn_01x04_Socket,
J2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,CAN Term,
"J3, J4, J5, J6, J7",TestPoint_Pad_D1.0mm,5,Conn_01x01,
"J8, J9",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Socket,
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,C20917
R1,0402,1,1k,C11702
"R10, R11, R12, R13, R3, R4, R5, R6, R7, R8, R9",0402,11,10k,C25744
R2,0402,1,120,C25079
U1,SOT-89-3,1,L78L05_SOT89,C71136
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,C49558
