Designator,Mid X,Mid Y,Rotation,Layer
C1,34.0,-43.0,270.0,top
C10,34.0,-37.0,90.0,top
C2,33.0,-37.0,90.0,top
C3,33.0,-35.0,270.0,top
C4,28.0,-38.5,180.0,top
C5,35.0,-34.0,180.0,top
C6,37.0,-34.0,0.0,top
C7,45.0,-36.0,0.0,top
C8,42.5,-46.0,180.0,top
C9,34.0,-41.0,90.0,top
D1,36.0,-46.0,0.0,top
Q1,54.75,-38.0,270.0,top
Q2,51.25,-38.0,270.0,top
Q3,54.75,-42.0,90.0,top
Q4,51.25,-42.0,90.0,top
R1,34.0,-45.0,270.0,top
R10,45.0,-34.0,180.0,top
R11,44.5,-46.0,180.0,top
R12,45.0,-35.0,180.0,top
R13,44.5,-45.0,180.0,top
R2,34.0,-39.0,90.0,top
R3,39.0,-34.0,0.0,top
R4,35.5,-44.25,270.0,top
R5,28.0,-41.0,180.0,top
R6,43.0,-34.0,180.0,top
R7,38.49,-46.0,0.0,top
R8,41.0,-34.0,0.0,top
R9,40.51,-46.0,180.0,top
U1,30.2,-35.5,180.0,top
U2,29.75,-44.25,90.0,top
U3,31.25,-39.75,0.0,top
U4,40.0,-40.0,270.0,top
